user_id,text,timestamp,latitude,longitude,zone,trust_level
194832,flood near river,2023-01-01 00:09:00,37.92592775929877,-122.01158923289584,Zone C,medium
167755,evacuate Zone C,2023-01-01 00:51:00,37.166323961341135,-121.87577986965194,Zone C,high
151224,flood near river,2023-01-01 00:59:00,37.82141700197308,-122.13520460147654,Zone C,medium
142767,flood near river,2023-01-01 01:04:00,37.98895173716196,-121.92076579512006,Zone C,medium
193981,evacuate Zone C,2023-01-01 01:13:00,37.82689442350232,-121.93534891778748,Zone C,high
175666,evacuate Zone C,2023-01-01 01:18:00,37.64904414641431,-122.06723663449776,Zone C,high
147848,flood near river,2023-01-01 01:28:00,37.6460702267069,-121.88285457311352,Zone C,medium
187295,evacuate Zone C,2023-01-01 02:31:00,37.12141923436086,-121.96225680841928,Zone C,high
147080,flood near river,2023-01-01 03:02:00,37.239505835413176,-122.01871218756526,Zone C,medium
147684,flood near river,2023-01-01 03:19:00,37.68562654488196,-121.72784629325498,Zone C,medium
116451,flood near river,2023-01-01 03:21:00,37.57068226125229,-122.44653282648292,Zone C,medium
139642,flood near river,2023-01-01 03:41:00,37.63034614060511,-122.17667267526969,Zone C,medium
124024,evacuate Zone C,2023-01-01 03:45:00,37.94187535259999,-122.43103826337683,Zone C,high
119938,evacuate Zone C,2023-01-01 03:57:00,37.09617892781297,-121.59584485779897,Zone C,high
112799,flood near river,2023-01-01 04:29:00,37.88927790862168,-122.1527334880689,Zone C,medium
120559,flood near river,2023-01-01 04:31:00,37.08178836192575,-121.85027981293516,Zone C,medium
166052,flood near river,2023-01-01 04:36:00,37.48608915045212,-121.93496415359108,Zone C,medium
149051,flood near river,2023-01-01 04:37:00,37.29832811360917,-122.05856797678544,Zone C,medium
112817,evacuate Zone C,2023-01-01 04:48:00,37.34717985488192,-122.4701209193708,Zone C,high
128733,evacuate Zone C,2023-01-01 05:03:00,37.08968788069652,-121.86538526929554,Zone C,high
143047,evacuate Zone C,2023-01-01 05:05:00,37.86277186223275,-122.30582420820508,Zone C,high
155279,evacuate Zone C,2023-01-01 05:29:00,37.1734099200602,-121.62418058542012,Zone C,high
111985,evacuate Zone C,2023-01-01 05:30:00,37.910329969917605,-121.66680765932628,Zone C,high
108424,evacuate Zone C,2023-01-01 05:33:00,37.735569189685314,-122.2401369406684,Zone C,high
